#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         589       -0.52   0.0323939   0.0208336
         590       -0.68   0.0311864   0.0208332
         591       -0.76   0.0298477    0.020841
         592       -0.72   0.0285811   0.0208442
         593       -0.56   0.0275885   0.0208327
         594       -0.56   0.0265993   0.0208211
         595       -0.56   0.0256134   0.0208094
         596       -0.56   0.0246309   0.0207977
         597       -0.48   0.0237856     0.02078
         598       -0.48   0.0229431   0.0207623
         599       -0.56   0.0219699   0.0207505
         600        -0.6   0.0209333   0.0207418
         601       -0.56   0.0199667   0.0207298
         602       -0.52   0.0190698   0.0207147
         603       -0.44   0.0183085   0.0206944
         604       -0.36   0.0176821   0.0206696
         605       -0.32    0.017124   0.0206429
         606       -0.36   0.0165017   0.0206183
         607       -0.32   0.0159473   0.0205917
         608       -0.36   0.0153289   0.0205672
         609        -0.4    0.014647   0.0205447
         610       -0.44   0.0139016   0.0205245
         611       -0.44   0.0131588   0.0205044
         612       -0.44   0.0124183   0.0204842
         613       -0.44   0.0116803   0.0204641
         614       -0.44   0.0109446    0.020444
         615       -0.48   0.0101463   0.0204263
         616       -0.48  0.00935065   0.0204087
         617       -0.48  0.00855754    0.020391
         618       -0.52  0.00770227   0.0203759
         619       -0.56  0.00678514   0.0203636
         620       -0.56  0.00587097   0.0203513
         621       -0.56  0.00495974   0.0203389
         622       -0.64  0.00392283   0.0203326
         623       -0.52  0.00308186   0.0203174
         624       -0.48  0.00230769   0.0202996
         625       -0.48    0.001536   0.0202817
         626        -0.6  0.00057508   0.0202721
         627       -0.56-0.000318979   0.0202595
         628        -0.6 -0.00127389   0.0202497
         629       -0.56 -0.00216216    0.020237
         630        -0.6 -0.00311111   0.0202271
         631        -0.6 -0.00405705   0.0202172
         632       -0.52 -0.00487342   0.0202016
         633       -0.44 -0.00556082   0.0201814
         634       -0.56 -0.00643533   0.0201685
         635        -0.6 -0.00737008   0.0201584
         636       -0.64 -0.00836478   0.0201512
         637       -0.56 -0.00923077   0.0201382
         638       -0.56   -0.010094   0.0201251
         639       -0.44  -0.0107668   0.0201049
         640       -0.52  -0.0115625   0.0200892
         641       -0.44  -0.0122309    0.020069
         642       -0.48  -0.0129595   0.0200509
         643        -0.4  -0.0135614   0.0200288
         644       -0.44  -0.0142236   0.0200086
         645       -0.48  -0.0149457   0.0199906
         646       -0.44  -0.0156037   0.0199705
         647        -0.4  -0.0161978   0.0199485
         648        -0.4  -0.0167901   0.0199265
         649       -0.36   -0.017319   0.0199028
         650       -0.36  -0.0178462   0.0198792
         651       -0.24  -0.0181874   0.0198516
         652       -0.24  -0.0185276    0.019824
         653        -0.2  -0.0188055   0.0197956
         654        -0.2  -0.0190826   0.0197673
         655       -0.28  -0.0194809   0.0197411
         656       -0.24  -0.0198171   0.0197139
         657       -0.32   -0.020274   0.0196892
         658       -0.28  -0.0206687   0.0196632
         659       -0.28  -0.0210622   0.0196373
         660       -0.32  -0.0215152   0.0196128
         661       -0.08  -0.0216036   0.0195833
         662       -0.04  -0.0216314   0.0195538
         663        0.04  -0.0215385   0.0195245
         664        0.04  -0.0214458   0.0194953
         665         0.2  -0.0211128   0.0194688
         666        0.16  -0.0208408   0.0194415
         667         0.2  -0.0205097   0.0194152
         668        0.24  -0.0201198     0.01939
         669        0.28  -0.0196712   0.0193662
         670        0.32  -0.0191642   0.0193439
         671        0.32  -0.0186587   0.0193217
         672        0.32  -0.0181548   0.0192995
         673         0.4  -0.0175334   0.0192809
         674        0.44  -0.0168546   0.0192642
         675         0.4   -0.016237   0.0192456
         676        0.48   -0.015503   0.0192311
         677        0.56  -0.0146529   0.0192215
         678        0.68  -0.0136283   0.0192204
         679        0.76   -0.012489   0.0192258
         680        0.76  -0.0113529   0.0192311
         681         0.8  -0.0101615   0.0192397
         682         0.8 -0.00897361   0.0192481
         683        0.72  -0.0079063   0.0192495
         684        0.72 -0.00684211   0.0192508
         685         0.6  -0.0059562   0.0192431
         686        0.64 -0.00501458    0.019238
         687        0.68 -0.00401747   0.0192358
         688        0.68 -0.00302326   0.0192336
         689        0.72 -0.00197388   0.0192343
         690        0.68-0.000985507   0.0192318
         691        0.72 5.78871e-05   0.0192322
         692        0.76  0.00115607   0.0192357
         693        0.72  0.00219336   0.0192359
         694        0.68  0.00317003    0.019233
         695        0.64  0.00408633   0.0192271
         696        0.64       0.005   0.0192212
         697        0.68  0.00596844    0.019218
         698        0.72   0.0069914   0.0192177
         699        0.84  0.00818312   0.0192271
         700        0.84  0.00937143   0.0192363
         701        0.84   0.0105563   0.0192453
         702        0.84   0.0117379   0.0192542
         703         0.8   0.0128592   0.0192594
         704        0.76   0.0139205   0.0192613
         705        0.68   0.0148652   0.0192571
         706        0.64   0.0157507   0.0192502
         707        0.68   0.0166902   0.0192459
         708        0.72   0.0176836   0.0192443
         709        0.76   0.0187306   0.0192456
         710        0.68    0.019662    0.019241
         711        0.68   0.0205907   0.0192364
         712         0.6   0.0214045   0.0192265
         713         0.6    0.022216   0.0192167
         714        0.64   0.0230812   0.0192093
         715        0.72   0.0240559   0.0192071
         716         0.8   0.0251397   0.0192108
         717         0.8   0.0262204   0.0192144
         718        0.84   0.0273538    0.019221
         719         0.8   0.0284284   0.0192243
         720        0.88   0.0296111    0.019234
         721        0.84   0.0307351   0.0192401
         722         0.8   0.0318006   0.0192429
         723        0.84   0.0329184   0.0192488
         724         0.8   0.0339779   0.0192513
         725         0.8   0.0350345   0.0192537
         726         0.8   0.0360882    0.019256
         727        0.68   0.0369739   0.0192499
         728        0.52   0.0376374   0.0192349
         729        0.56   0.0383539   0.0192218
         730        0.48   0.0389589    0.019205
         731         0.4   0.0394528   0.0191851
         732        0.44        0.04   0.0191667
         733        0.24   0.0402729   0.0191425
         734        0.28   0.0405995   0.0191192
         735         0.4   0.0410884   0.0190994
         736        0.28    0.041413   0.0190762
         737        0.36   0.0418453   0.0190553
         738         0.4   0.0423306   0.0190356
         739        0.24   0.0425981   0.0190117
         740         0.4   0.0430811   0.0189922
         741         0.4   0.0435628   0.0189727
         742        0.44    0.044097   0.0189546
