#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         342     2.74168     2.74216 3.31538e-05
         343     2.74168     2.74216 3.30866e-05
         344     2.74169     2.74216 3.30184e-05
         345      2.7417     2.74216 3.29492e-05
         346     2.74171     2.74215 3.28793e-05
         347     2.74172     2.74215 3.28081e-05
         348     2.74172     2.74215 3.27374e-05
         349     2.74173     2.74215 3.26658e-05
         350     2.74174     2.74215 3.25933e-05
         351     2.74176     2.74215 3.25192e-05
         352     2.74177     2.74215 3.24444e-05
         353     2.74178     2.74215 3.23688e-05
         354      2.7418     2.74215 3.22924e-05
         355     2.74181     2.74214 3.22154e-05
         356     2.74182     2.74214 3.21379e-05
         357     2.74183     2.74214 3.20598e-05
         358     2.74184     2.74214 3.19812e-05
         359     2.74185     2.74214 3.19023e-05
         360     2.74186     2.74214  3.1823e-05
         361     2.74188     2.74214 3.17432e-05
         362     2.74189     2.74214 3.16633e-05
         363      2.7419     2.74214 3.15829e-05
         364     2.74191     2.74214 3.15025e-05
         365     2.74192     2.74214 3.14217e-05
         366     2.74193     2.74214 3.13408e-05
         367     2.74194     2.74214 3.12599e-05
         368     2.74196     2.74213 3.11788e-05
         369     2.74196     2.74213 3.10978e-05
         370     2.74197     2.74213 3.10171e-05
         371     2.74197     2.74213 3.09366e-05
         372     2.74198     2.74213 3.08562e-05
         373     2.74199     2.74213 3.07758e-05
         374       2.742     2.74213 3.06954e-05
         375     2.74201     2.74213 3.06153e-05
         376     2.74202     2.74213 3.05354e-05
         377     2.74202     2.74213 3.04558e-05
         378     2.74203     2.74213 3.03764e-05
         379     2.74204     2.74213 3.02972e-05
         380     2.74205     2.74213 3.02183e-05
         381     2.74205     2.74213 3.01397e-05
         382     2.74206     2.74213 3.00614e-05
         383     2.74207     2.74213 2.99834e-05
         384     2.74207     2.74213 2.99057e-05
         385     2.74208     2.74213 2.98283e-05
         386     2.74208     2.74213 2.97513e-05
         387     2.74208     2.74213 2.96747e-05
         388     2.74209     2.74213 2.95984e-05
         389     2.74209     2.74213 2.95225e-05
         390      2.7421     2.74213 2.94469e-05
         391      2.7421     2.74213 2.93717e-05
         392      2.7421     2.74213 2.92968e-05
         393      2.7421     2.74213 2.92224e-05
         394     2.74211     2.74213 2.91482e-05
         395     2.74211     2.74213 2.90745e-05
         396     2.74211     2.74213 2.90011e-05
         397     2.74211     2.74213 2.89281e-05
         398     2.74211     2.74213 2.88555e-05
         399     2.74211     2.74213 2.87832e-05
         400     2.74212     2.74213 2.87112e-05
         401     2.74212     2.74213 2.86396e-05
         402     2.74212     2.74213 2.85684e-05
         403     2.74213     2.74213 2.84975e-05
         404     2.74213     2.74213  2.8427e-05
         405     2.74213     2.74213 2.83568e-05
         406     2.74213     2.74213 2.82869e-05
         407     2.74213     2.74213 2.82174e-05
         408     2.74213     2.74213 2.81483e-05
         409     2.74213     2.74213 2.80794e-05
         410     2.74212     2.74213  2.8011e-05
         411     2.74212     2.74213 2.79428e-05
         412     2.74212     2.74213  2.7875e-05
         413     2.74212     2.74213 2.78075e-05
         414     2.74211     2.74213 2.77404e-05
         415     2.74211     2.74213 2.76736e-05
         416      2.7421     2.74213 2.76071e-05
         417      2.7421     2.74213  2.7541e-05
         418     2.74209     2.74213 2.74752e-05
         419     2.74209     2.74213 2.74098e-05
         420     2.74208     2.74213 2.73447e-05
         421     2.74208     2.74213   2.728e-05
         422     2.74208     2.74213 2.72157e-05
         423     2.74208     2.74213 2.71516e-05
         424     2.74208     2.74213 2.70878e-05
         425     2.74207     2.74213 2.70245e-05
         426     2.74206     2.74213 2.69614e-05
         427     2.74206     2.74213 2.68988e-05
         428     2.74206     2.74213 2.68364e-05
         429     2.74206     2.74213 2.67743e-05
         430     2.74206     2.74213 2.67125e-05
         431     2.74206     2.74213 2.66509e-05
         432     2.74206     2.74213 2.65897e-05
         433     2.74206     2.74213 2.65287e-05
         434     2.74205     2.74213 2.64681e-05
         435     2.74205     2.74213 2.64078e-05
         436     2.74205     2.74213 2.63478e-05
         437     2.74206     2.74213 2.62879e-05
         438     2.74206     2.74213 2.62283e-05
         439     2.74206     2.74213  2.6169e-05
         440     2.74207     2.74213 2.61098e-05
         441     2.74208     2.74213 2.60508e-05
         442     2.74209     2.74213  2.5992e-05
         443      2.7421     2.74213 2.59334e-05
         444      2.7421     2.74213  2.5875e-05
         445     2.74212     2.74213 2.58169e-05
         446     2.74213     2.74213  2.5759e-05
         447     2.74214     2.74213 2.57014e-05
         448     2.74215     2.74213 2.56441e-05
         449     2.74217     2.74213 2.55872e-05
         450     2.74219     2.74213 2.55307e-05
         451     2.74221     2.74213 2.54748e-05
         452     2.74222     2.74213 2.54193e-05
         453     2.74224     2.74213 2.53645e-05
         454     2.74226     2.74213 2.53104e-05
         455     2.74229     2.74213 2.52572e-05
         456     2.74231     2.74213 2.52051e-05
         457     2.74233     2.74213 2.51539e-05
         458     2.74235     2.74213 2.51037e-05
         459     2.74237     2.74213 2.50547e-05
         460     2.74239     2.74213 2.50069e-05
         461     2.74241     2.74213 2.49603e-05
         462     2.74244     2.74213 2.49152e-05
         463     2.74246     2.74213 2.48716e-05
         464     2.74248     2.74213 2.48292e-05
         465      2.7425     2.74213 2.47883e-05
         466     2.74251     2.74213 2.47486e-05
         467     2.74253     2.74213 2.47102e-05
         468     2.74255     2.74214 2.46732e-05
         469     2.74255     2.74214 2.46365e-05
         470     2.74255     2.74214 2.46002e-05
         471     2.74256     2.74214 2.45641e-05
         472     2.74256     2.74214 2.45279e-05
         473     2.74255     2.74214 2.44916e-05
