# DISTANCE:     AVE_GOFR:        ERROR:
     2.52649    0.884497  0.00126781
     2.55214    0.885342  0.00246123

   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 6.94725e-06  6.4319e-06
    0.884913  0.00131662 0.000160374
    0.910562   0.0233357 0.000472082
    0.936212    0.165489  0.00245263
    0.961861    0.562408  0.00518054
    0.987511     1.20055  0.00679085
     1.01316     1.86306  0.00564775
     1.03881      2.3294  0.00716334
     1.06446     2.55785  0.00463661
     1.09011     2.54207  0.00820972
     1.11576     2.40286  0.00478136
     1.14141     2.19271  0.00494853
     1.16706     1.96924  0.00573621
     1.19271     1.74996  0.00481524
     1.21836     1.56426   0.0061307
     1.24401     1.39155  0.00606698
     1.26966     1.24933  0.00490617
     1.29531     1.12968  0.00368049
     1.32096     1.02611  0.00384508
     1.34661    0.945794  0.00231758
     1.37226    0.873966  0.00169349
     1.39791    0.818688  0.00242287
     1.42355    0.773095  0.00246269
      1.4492    0.735425  0.00313051
     1.47485    0.710012  0.00310715
      1.5005    0.689933   0.0022027
     1.52615    0.678478  0.00423739
      1.5518    0.676203  0.00230522
     1.57745    0.673757  0.00194792
      1.6031    0.677915  0.00321621
     1.62875    0.688442  0.00239363
      1.6544    0.705154 0.000987283
     1.68005    0.722114  0.00219942
      1.7057    0.747683    0.001213
     1.73135    0.782763  0.00185978
       1.757    0.812691  0.00266763
     1.78265    0.850508  0.00191245
      1.8083    0.891354  0.00137306
     1.83395    0.932454  0.00178728
      1.8596    0.969966  0.00217614
     1.88525     1.01637  0.00190013
      1.9109     1.05748  0.00207782
     1.93655     1.09522 0.000756234
      1.9622     1.13065  0.00310259
     1.98785     1.15904  0.00151773
      2.0135     1.18663   0.0016826
     2.03915     1.20644  0.00227437
      2.0648     1.21577  0.00129386
     2.09045     1.21386   0.0025151
      2.1161     1.20584  0.00170481
     2.14174     1.19267  0.00300148
     2.16739     1.17036  0.00223247
     2.19304     1.15067  0.00192653
     2.21869     1.12133  0.00247209
     2.24434     1.09603  0.00316768
     2.26999     1.06858  0.00235859
     2.29564     1.04065  0.00272765
     2.32129     1.01486  0.00322896
     2.34694    0.991486  0.00342119
     2.37259    0.968822  0.00295895
     2.39824     0.94929  0.00210209
     2.42389    0.932124  0.00198148
     2.44954    0.920456  0.00160948
     2.47519    0.909059  0.00114039
     2.50084    0.897396  0.00181313
     2.52649    0.886216  0.00192667
     2.55214    0.886304  0.00228988

   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 6.07884e-06 5.68623e-06
    0.884913  0.00126095 0.000149681
    0.910562   0.0236234 0.000492991
    0.936212    0.165394  0.00214793
    0.961861    0.561489  0.00461364
    0.987511     1.19722  0.00670507
     1.01316     1.86196  0.00504657
     1.03881     2.32582  0.00710742
     1.06446     2.55244  0.00648678
     1.09011     2.54332  0.00727905
     1.11576     2.40327  0.00420119
     1.14141     2.19453  0.00465279
     1.16706     1.97234  0.00579443
     1.19271     1.75261  0.00488924
     1.21836      1.5665  0.00575984
     1.24401     1.39402  0.00579078
     1.26966     1.25146  0.00473055
     1.29531      1.1294  0.00323098
     1.32096     1.02597  0.00336718
     1.34661     0.94577    0.002028
     1.37226    0.873694  0.00150361
     1.39791      0.8195  0.00225201
     1.42355    0.774016   0.0023206
      1.4492    0.735862  0.00276956
     1.47485    0.711407  0.00301565
      1.5005    0.690752  0.00207415
     1.52615    0.678301  0.00371139
      1.5518    0.675255  0.00220346
     1.57745    0.672477  0.00208304
      1.6031    0.677384  0.00285768
     1.62875    0.686935  0.00252466
      1.6544    0.703999   0.0013831
     1.68005    0.721906  0.00193431
      1.7057    0.748019  0.00110702
     1.73135    0.781603  0.00195624
       1.757    0.812605  0.00233558
     1.78265    0.849543  0.00190128
      1.8083    0.889952  0.00177861
     1.83395    0.932631  0.00157264
      1.8596    0.970405  0.00194788
     1.88525      1.0157  0.00177464
      1.9109     1.05708   0.0018559
     1.93655     1.09501 0.000689334
      1.9622     1.13095  0.00272931
     1.98785     1.15952  0.00140249
      2.0135     1.18689  0.00149254
     2.03915     1.20492  0.00244968
      2.0648     1.21468  0.00152223
     2.09045     1.21396  0.00220282
      2.1161     1.20521  0.00160304
     2.14174      1.1927  0.00262645
     2.16739     1.17059  0.00196605
     2.19304      1.1517  0.00193832
     2.21869     1.12243  0.00239431
     2.24434     1.09766  0.00316293
     2.26999     1.06942  0.00221077
     2.29564     1.04177  0.00260784
     2.32129     1.01583  0.00296759
     2.34694    0.992457  0.00312818
     2.37259    0.969114  0.00260348
     2.39824    0.951003  0.00243911
     2.42389    0.933279  0.00204266
     2.44954    0.921499  0.00171318
     2.47519    0.909152  0.00100155
     2.50084    0.897363  0.00158679
     2.52649     0.88604  0.00169379
     2.55214    0.886354  0.00200419

   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 5.40341e-06 5.09439e-06
    0.884913  0.00128387 0.000134794
    0.910562   0.0238327 0.000480599
    0.936212    0.165392  0.00190927
    0.961861    0.560792  0.00415332
    0.987511     1.19597  0.00607609
