#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         776           1    0.982216  0.00278046
         777           1    0.982239  0.00277697
         778           1    0.982262   0.0027735
         779           1    0.982285  0.00277003
         780           1    0.982308  0.00276657
         781           1     0.98233  0.00276312
         782           1    0.982353  0.00275968
         783           1    0.982375  0.00275625
         784           1    0.982398  0.00275283
         785           1     0.98242  0.00274941
         786           1    0.982443    0.002746
         787           1    0.982465   0.0027426
         788           1    0.982487  0.00273921
         789        0.96    0.982459  0.00273589
         790        0.96     0.98243  0.00273258
         791           1    0.982453  0.00272921
         792           1    0.982475  0.00272585
         793           1    0.982497  0.00272251
         794           1    0.982519  0.00271917
         795           1    0.982541  0.00271584
         796           1    0.982563  0.00271251
         797           1    0.982585   0.0027092
         798           1    0.982607  0.00270589
         799           1    0.982628  0.00270259
         800           1     0.98265   0.0026993
         801           1    0.982672  0.00269602
         802           1    0.982693  0.00269274
         803           1    0.982715  0.00268948
         804           1    0.982736  0.00268622
         805           1    0.982758  0.00268296
         806           1    0.982779  0.00267972
         807           1      0.9828  0.00267649
         808           1    0.982822  0.00267326
         809           1    0.982843  0.00267004
         810           1    0.982864  0.00266683
         811           1    0.982885  0.00266362
         812           1    0.982906  0.00266042
         813           1    0.982927  0.00265723
         814           1    0.982948  0.00265405
         815           1    0.982969  0.00265088
         816           1     0.98299  0.00264771
         817           1    0.983011  0.00264455
         818           1    0.983032   0.0026414
         819           1    0.983053  0.00263826
         820           1    0.983073  0.00263512
         821           1    0.983094  0.00263199
         822           1    0.983114  0.00262887
         823           1    0.983135  0.00262576
         824           1    0.983155  0.00262265
         825           1    0.983176  0.00261955
         826           1    0.983196  0.00261646
         827           1    0.983216  0.00261337
         828           1    0.983237   0.0026103
         829           1    0.983257  0.00260723
         830           1    0.983277  0.00260416
         831           1    0.983297  0.00260111
         832           1    0.983317  0.00259806
         833           1    0.983337  0.00259502
         834           1    0.983357  0.00259198
         835           1    0.983377  0.00258895
         836           1    0.983397  0.00258593
         837           1    0.983417  0.00258292
         838           1    0.983437  0.00257991
         839           1    0.983456  0.00257691
         840           1    0.983476  0.00257392
         841           1    0.983496  0.00257094
         842           1    0.983515  0.00256796
         843           1    0.983535  0.00256499
         844           1    0.983555  0.00256202
         845           1    0.983574  0.00255906
         846           1    0.983593  0.00255611
         847           1    0.983613  0.00255317
         848           1    0.983632  0.00255023
         849           1    0.983651   0.0025473
         850           1    0.983671  0.00254437
         851           1     0.98369  0.00254146
         852           1    0.983709  0.00253855
         853           1    0.983728  0.00253564
         854           1    0.983747  0.00253274
         855           1    0.983766  0.00252985
         856           1    0.983785  0.00252697
         857           1    0.983804  0.00252409
         858           1    0.983823  0.00252122
         859           1    0.983842  0.00251835
         860           1     0.98386   0.0025155
