#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         555       -1.02    -1.00798  0.00183772
         556       -1.02      -1.008  0.00183454
         557       -1.02    -1.00803  0.00183137
         558       -1.02    -1.00805  0.00182822
         559       -1.02    -1.00807  0.00182507
         560       -1.02    -1.00809  0.00182194
         561       -1.02    -1.00811  0.00181881
         562       -1.02    -1.00813   0.0018157
         563       -1.02    -1.00815   0.0018126
         564       -1.02    -1.00817  0.00180951
         565       -1.02     -1.0082  0.00180642
         566       -1.02    -1.00822  0.00180335
         567       -1.02    -1.00824  0.00180029
         568       -1.02    -1.00826  0.00179724
         569       -1.02    -1.00828   0.0017942
         570       -1.02     -1.0083  0.00179117
         571       -1.02    -1.00832  0.00178815
         572       -1.02    -1.00834  0.00178514
         573       -1.02    -1.00836  0.00178214
         574       -1.02    -1.00838  0.00177915
         575       -1.02     -1.0084  0.00177617
         576       -1.02    -1.00842   0.0017732
         577       -1.02    -1.00844  0.00177025
         578       -1.02    -1.00846   0.0017673
         579       -1.02    -1.00848  0.00176436
         580       -1.02     -1.0085  0.00176143
         581       -1.02    -1.00852   0.0017585
         582       -1.02    -1.00854  0.00175559
         583       -1.02    -1.00856  0.00175269
         584       -1.02    -1.00858   0.0017498
         585       -1.02     -1.0086  0.00174692
         586       -1.02    -1.00862  0.00174405
         587       -1.02    -1.00864  0.00174118
         588       -1.02    -1.00866  0.00173833
         589       -1.02    -1.00868  0.00173548
         590       -1.02     -1.0087  0.00173265
         591       -1.02    -1.00871  0.00172982
         592       -1.02    -1.00873  0.00172701
         593       -1.02    -1.00875   0.0017242
         594       -1.02    -1.00877   0.0017214
         595       -1.02    -1.00879  0.00171861
         596       -1.02    -1.00881  0.00171583
         597       -1.02    -1.00883  0.00171306
         598       -1.02    -1.00885  0.00171029
         599       -1.02    -1.00887  0.00170754
         600       -1.02    -1.00888   0.0017048
         601       -1.02     -1.0089  0.00170206
         602       -1.02    -1.00892  0.00169933
         603       -1.02    -1.00894  0.00169661
         604       -1.02    -1.00896   0.0016939
         605       -1.02    -1.00898   0.0016912
         606       -1.02    -1.00899  0.00168851
         607       -1.02    -1.00901  0.00168582
         608       -1.02    -1.00903  0.00168315
         609       -1.02    -1.00905  0.00168048
         610       -1.02    -1.00907  0.00167782
         611       -1.02    -1.00908  0.00167517
         612       -1.02     -1.0091  0.00167253
         613       -1.02    -1.00912  0.00166989
         614       -1.02    -1.00914  0.00166727
         615       -1.02    -1.00916  0.00166465
         616       -1.02    -1.00917  0.00166204
         617       -1.02    -1.00919  0.00165944
         618       -1.02    -1.00921  0.00165685
         619       -1.02    -1.00923  0.00165426
         620       -1.02    -1.00924  0.00165169
         621       -1.02    -1.00926  0.00164912
         622       -1.02    -1.00928  0.00164656
         623       -1.02    -1.00929    0.001644
         624       -1.02    -1.00931  0.00164146
         625       -1.02    -1.00933  0.00163892
         626       -1.02    -1.00935  0.00163639
         627       -1.02    -1.00936  0.00163387
         628       -1.02    -1.00938  0.00163136
         629       -1.02     -1.0094  0.00162885
         630       -1.02    -1.00941  0.00162635
         631       -1.02    -1.00943  0.00162386
         632       -1.02    -1.00945  0.00162138
         633       -1.02    -1.00946   0.0016189
         634       -1.02    -1.00948  0.00161643
         635       -1.02     -1.0095  0.00161397
         636       -1.02    -1.00951  0.00161152
         637       -1.02    -1.00953  0.00160907
         638       -1.02    -1.00955  0.00160664
         639       -1.02    -1.00956   0.0016042
         640       -1.02    -1.00958  0.00160178
         641       -1.02     -1.0096  0.00159936
         642       -1.02    -1.00961  0.00159696
         643       -1.02    -1.00963  0.00159455
         644       -1.02    -1.00964  0.00159216
         645       -1.02    -1.00966  0.00158977
         646       -1.02    -1.00968  0.00158739
         647       -1.02    -1.00969  0.00158502
         648       -1.02    -1.00971  0.00158265
         649       -1.02    -1.00972  0.00158029
         650       -1.02    -1.00974  0.00157794
         651       -1.02    -1.00975  0.00157559
         652       -1.02    -1.00977  0.00157326
         653       -1.02    -1.00979  0.00157093
         654       -1.02     -1.0098   0.0015686
         655       -1.02    -1.00982  0.00156628
         656       -1.02    -1.00983  0.00156397
         657       -1.02    -1.00985  0.00156167
         658       -1.02    -1.00986  0.00155937
         659       -1.02    -1.00988  0.00155708
         660       -1.02    -1.00989   0.0015548
         661     -0.9384    -1.00979   0.0015562
         662     -0.9384    -1.00968  0.00155758
         663       -1.02    -1.00969  0.00155531
         664       -1.02    -1.00971  0.00155305
         665       -1.02    -1.00973  0.00155079
         666       -1.02    -1.00974  0.00154854
         667       -1.02    -1.00976  0.00154629
         668       -1.02    -1.00977  0.00154405
         669       -1.02    -1.00979  0.00154182
         670       -1.02     -1.0098   0.0015396
         671       -1.02    -1.00982  0.00153738
         672       -1.02    -1.00983  0.00153516
         673       -1.02    -1.00985  0.00153296
         674       -1.02    -1.00986  0.00153076
         675       -1.02    -1.00988  0.00152856
         676       -1.02    -1.00989  0.00152637
         677       -1.02    -1.00991  0.00152419
         678       -1.02    -1.00992  0.00152202
         679       -1.02    -1.00994  0.00151985
         680       -1.02    -1.00995  0.00151768
         681       -1.02    -1.00997  0.00151553
         682       -1.02    -1.00998  0.00151338
         683       -1.02       -1.01  0.00151123
         684       -1.02    -1.01001  0.00150909
         685     -0.9392    -1.00991  0.00151043
         686       -1.02    -1.00992   0.0015083
         687       -1.02    -1.00994  0.00150617
         688       -1.02    -1.00995  0.00150405
         689       -1.02    -1.00997  0.00150194
