#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         789           1     1.50053   0.0724893
         790        0.64     1.49944   0.0724057
         791        0.16     1.49775    0.072334
         792        0.36     1.49631   0.0722569
         793        0.36     1.49488     0.07218
         794        0.64      1.4938   0.0720971
         795           0     1.49192   0.0720309
         796           0     1.49005   0.0719648
         797        0.16     1.48838   0.0718939
         798        0.16     1.48672    0.071823
         799        0.64     1.48566    0.071741
         800        0.16       1.484   0.0716704
         801        0.04      1.4822   0.0716036
         802        0.04      1.4804   0.0715369
         803           0     1.47856   0.0714716
         804        1.96     1.47915   0.0713852
         805        0.04     1.47737   0.0713189
         806        0.64     1.47633    0.071238
         807        0.16      1.4747   0.0711684
         808        0.04     1.47292   0.0711024
         809        0.16      1.4713   0.0710331
         810           0     1.46948   0.0709686
         811        1.44     1.46945   0.0708811
         812        0.04     1.46768   0.0708157
         813        0.04     1.46593   0.0707503
         814        0.36     1.46457   0.0706765
