#       STEP:  	 	 BETA:	  		MU:       SIGMA:       H_AVE:       ERROR:
           41            9    -0.973128    -0.552144    -0.272249    0.0119823
           42            9    -0.973128    -0.552144    -0.272249    0.0172567
           43            9     -1.03196    -0.613797    -0.232126     0.019526
           44            9     -1.03196    -0.613797    -0.232126    0.0165117
           45            9     -1.03196    -0.613797    -0.232126    0.0305473
           46            9    -0.940529    -0.527324    -0.284918     0.014587
           47            9    -0.833434    -0.502969    -0.280436    0.0140075
           48            9    -0.891643    -0.462157    -0.118328    0.0233135
           49            9    -0.812588    -0.485448    -0.254787    0.0202882
           50            9    -0.750416    -0.535657    -0.368188    0.0119829
            1           10     -0.68246    -0.499201    -0.302924    0.0190484
            2           10    -0.634302    -0.463308    -0.146594    0.0209602
            3           10    -0.634302    -0.463308    -0.146594    0.0291086
            4           10    -0.634302    -0.463308    -0.146594    0.0330296
            5           10    -0.654061    -0.501942    -0.275789    0.0164412
            6           10    -0.635392    -0.578829    -0.355557    0.0110282
            7           10    -0.638823    -0.589397    -0.346465    0.0104523
            8           10    -0.675035    -0.658543    -0.387186   0.00812559
            9           10    -0.687609    -0.673017    -0.374256    0.0263124
           10           10    -0.672768    -0.593199    -0.406709   0.00954122
           11           10    -0.672768    -0.593199    -0.406709   0.00934508
           12           10    -0.759236    -0.598512    -0.426016   0.00614951
           13           10    -0.747755    -0.498688    -0.310053    0.0150882
           14           10    -0.764768    -0.570494    -0.427814    0.0068595
           15           10    -0.764768    -0.570494    -0.427814    0.0213597
           16           10    -0.788674    -0.600481    -0.446009   0.00772764
           17           10    -0.790922    -0.678119    -0.408855    0.0172174
           18           10    -0.785443    -0.753561    -0.353045    0.0255497
           19           10    -0.785443    -0.753561    -0.353045    0.0512936
           20           10    -0.790826    -0.654399    -0.441882   0.00793665
           21           10    -0.694803    -0.614076    -0.403971   0.00713347
           22           10    -0.694803    -0.614076    -0.403971    0.0118038
           23           10    -0.694803    -0.614076    -0.403971    0.0121848
           24           10    -0.630836    -0.546144    -0.310746     0.011374
           25           10    -0.654971    -0.528407    -0.299661    0.0133364
           26           10    -0.654971    -0.528407    -0.299661    0.0326704
           27           10    -0.657249    -0.622061    -0.380867   0.00858314
           28           10    -0.748296    -0.529509      -0.3599    0.0132189
